epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,437.0,720.0,10000.0,22.883295,12.5,12.5,-0.024178594,1e-04,,0.01,2.877423,
0.0,20000.0,588.0,1520.0,20000.0,34.013607,231.25,121.875,-0.020599779,1e-04,,0.01,2.8663192,
0.0,30000.0,740.0,2320.0,30000.0,40.54054,43.75,95.833336,-0.02538579,1e-04,,0.01,2.8602905,
0.0,40000.0,889.0,3120.0,40000.0,44.994377,31.25,79.6875,-0.010625986,1e-04,,0.01,2.8464587,
0.0,50000.0,1030.0,3840.0,50000.0,48.54369,56.25,75.0,-0.016736524,1e-04,,0.01,2.828612,
0.0,60000.0,1181.0,4640.0,60000.0,50.8044,25.0,66.666664,-0.024069345,1e-04,,0.01,2.803738,
