epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,1.0,,,
0.0,10000.0,13.0,0.0,10000.0,769.2308,43.75,43.75,,1e-04,1.0,,,
0.0,20000.0,349.0,12500.0,20000.0,57.30659,28.125,35.9375,0.0035213334,1e-04,0.99,,,
0.0,30000.0,687.0,25000.0,30000.0,43.66812,31.25,34.375,0.0018745554,1e-04,0.98,,,
0.0,40000.0,1024.0,37500.0,40000.0,39.0625,81.25,46.09375,0.0013128051,1e-04,0.97,,,
