epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0007,,0.01,,
0.0,10000.0,56.0,95.0,10000.0,178.57143,21.875,21.875,-0.047278177,0.0007,,0.01,2.801402,
0.0,20000.0,77.0,195.0,20000.0,259.74026,31.25,26.5625,-0.42857015,0.0007,,0.01,2.2923608,
0.0,30000.0,98.0,290.0,30000.0,306.12244,31.25,28.125,-0.08405238,0.0007,,0.01,2.2213664,
0.0,40000.0,120.0,390.0,40000.0,333.33334,6.25,22.65625,-0.024261955,0.0007,,0.01,2.8485641,
0.0,50000.0,141.0,485.0,50000.0,354.60992,59.375,30.0,0.0020061955,0.0007,,0.01,2.8812873,
0.0,60000.0,162.0,585.0,60000.0,370.37036,112.5,43.75,0.020401668,0.0007,,0.01,2.8056092,
0.0,70000.0,182.0,680.0,70000.0,384.6154,34.375,42.410713,-0.03243323,0.0007,,0.01,2.88367,
0.0,80000.0,203.0,780.0,80000.0,394.08868,40.625,42.1875,-0.019358305,0.0007,,0.01,2.8701797,
0.0,90000.0,223.0,875.0,90000.0,403.58743,34.375,41.319443,-0.011507193,0.0007,,0.01,2.7441669,
0.0,100000.0,244.0,975.0,100000.0,409.83606,65.625,43.75,-0.03139402,0.0007,,0.01,2.8744652,
0.0,110000.0,264.0,1070.0,110000.0,416.66666,0.0,39.772728,-0.009931344,0.0007,,0.01,2.8154743,
0.0,120000.0,285.0,1170.0,120000.0,421.05264,15.625,37.760418,0.079298876,0.0007,,0.01,2.8231254,
0.0,130000.0,306.0,1265.0,130000.0,424.8366,50.0,38.701923,-0.0005108432,0.0007,,0.01,2.8477383,
0.0,140000.0,328.0,1365.0,140000.0,426.82925,43.75,39.0625,-0.019363461,0.0007,,0.01,2.8687086,
0.0,150000.0,349.0,1460.0,150000.0,429.79944,28.125,38.333332,-0.03646992,0.0007,,0.01,2.8759582,
0.0,160000.0,371.0,1560.0,160000.0,431.26685,53.125,39.257812,-0.0010777488,0.0007,,0.01,2.8699787,
0.0,170000.0,394.0,1660.0,170000.0,431.47208,15.625,37.867645,-0.04462748,0.0007,,0.01,2.8660064,
0.0,180000.0,416.0,1755.0,180000.0,432.69232,56.25,38.88889,-0.0013905764,0.0007,,0.01,2.8644953,
0.0,190000.0,437.0,1855.0,190000.0,434.78262,37.5,38.81579,-0.0066215573,0.0007,,0.01,2.853234,
0.0,200000.0,458.0,1950.0,200000.0,436.6812,43.75,39.0625,-0.028643109,0.0007,,0.01,2.8632545,
0.0,210000.0,479.0,2050.0,210000.0,438.41336,40.625,39.136906,-0.023623738,0.0007,,0.01,2.8639972,
0.0,220000.0,500.0,2145.0,220000.0,440.0,56.25,39.914772,-0.039813466,0.0007,,0.01,2.8694494,
0.0,230000.0,521.0,2245.0,230000.0,441.45874,0.0,38.179348,-0.007994622,0.0007,,0.01,2.8753567,
0.0,240000.0,542.0,2340.0,240000.0,442.8044,12.5,37.109375,-0.035783306,0.0007,,0.01,2.8768463,
0.0,250000.0,563.0,2440.0,250000.0,444.04974,59.375,38.0,-0.027530625,0.0007,,0.01,2.884697,
0.0,260000.0,598.0,2535.0,260000.0,434.78262,50.0,38.46154,-0.017237928,0.0007,,0.01,2.8827753,
0.0,270000.0,637.0,2635.0,270000.0,423.86185,28.125,38.078705,-0.023677306,0.0007,,0.01,2.8825772,
0.0,280000.0,674.0,2730.0,280000.0,415.43027,28.125,37.723213,-0.027174726,0.0007,,0.01,2.8865156,
0.0,290000.0,711.0,2830.0,290000.0,407.87622,43.75,37.931034,-0.013197764,0.0007,,0.01,2.8873093,
0.0,300000.0,747.0,2925.0,300000.0,401.6064,62.5,38.75,-0.008296633,0.0007,,0.01,2.8818161,
0.0,310000.0,785.0,3025.0,310000.0,394.90445,53.125,39.21371,0.008710846,0.0007,,0.01,2.878348,
0.0,320000.0,821.0,3125.0,320000.0,389.7686,62.5,39.941406,-0.016045636,0.0007,,0.01,2.8828738,
0.0,330000.0,858.0,3220.0,330000.0,384.6154,40.625,39.96212,-0.015885618,0.0007,,0.01,2.8824677,
0.0,340000.0,895.0,3320.0,340000.0,379.88828,12.5,39.15441,-0.035319738,0.0007,,0.01,2.8855011,
0.0,350000.0,930.0,3415.0,350000.0,376.3441,75.0,40.17857,-0.021105254,0.0007,,0.01,2.8840432,
