epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,171.0,95.0,10000.0,58.47953,21.875,21.875,-0.021625718,1e-04,,0.01,2.885003,
0.0,20000.0,247.0,195.0,20000.0,80.97166,59.375,40.625,-0.019343173,1e-04,,0.01,2.885705,
0.0,30000.0,320.0,290.0,30000.0,93.75,37.5,39.583332,-0.014193952,1e-04,,0.01,2.8786242,
0.0,40000.0,393.0,390.0,40000.0,101.78117,71.875,47.65625,-0.024911411,1e-04,,0.01,2.8859348,
0.0,50000.0,465.0,485.0,50000.0,107.52688,21.875,42.5,-0.025405247,1e-04,,0.01,2.8860238,
0.0,60000.0,541.0,585.0,60000.0,110.90573,0.0,35.416668,-0.032684095,1e-04,,0.01,2.8817527,
