epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,167.0,95.0,10000.0,59.88024,15.625,15.625,-0.019315531,1e-04,,0.01,2.8869312,
0.0,20000.0,238.0,195.0,20000.0,84.033615,43.75,29.6875,-0.026601784,1e-04,,0.01,2.8865485,
0.0,30000.0,309.0,290.0,30000.0,97.08738,28.125,29.166666,-0.035554823,1e-04,,0.01,2.8837647,
0.0,40000.0,385.0,390.0,40000.0,103.8961,21.875,27.34375,-0.022614041,1e-04,,0.01,2.8867474,
0.0,50000.0,458.0,485.0,50000.0,109.1703,15.625,25.0,-0.017139746,1e-04,,0.01,2.8871176,
0.0,60000.0,534.0,585.0,60000.0,112.35955,12.5,22.916666,-0.034358196,1e-04,,0.01,2.8819096,
