epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,167.0,95.0,10000.0,59.88024,43.75,43.75,-0.016573299,1e-04,,0.01,2.8855505,
0.0,20000.0,243.0,195.0,20000.0,82.30453,37.5,40.625,-0.031445265,1e-04,,0.01,2.8864,
0.0,30000.0,316.0,290.0,30000.0,94.93671,21.875,34.375,-0.030760964,1e-04,,0.01,2.882245,
0.0,40000.0,393.0,390.0,40000.0,101.78117,84.375,46.875,-0.0272916,1e-04,,0.01,2.8870583,
0.0,50000.0,471.0,485.0,50000.0,106.15711,31.25,43.75,-0.020244965,1e-04,,0.01,2.8875048,
0.0,60000.0,546.0,585.0,60000.0,109.89011,28.125,41.145832,-0.0077604717,1e-04,,0.01,2.8812149,
