epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,169.0,95.0,10000.0,59.171597,12.5,12.5,-0.023229644,1e-04,,0.01,2.8864808,
0.0,20000.0,247.0,195.0,20000.0,80.97166,37.5,25.0,-0.029979669,1e-04,,0.01,2.8869507,
0.0,30000.0,322.0,290.0,30000.0,93.1677,28.125,26.041666,-0.014592263,1e-04,,0.01,2.8747494,
0.0,40000.0,399.0,390.0,40000.0,100.250626,50.0,32.03125,-0.022882476,1e-04,,0.01,2.8852916,
0.0,50000.0,474.0,485.0,50000.0,105.48523,31.25,31.875,-0.026582444,1e-04,,0.01,2.8875148,
0.0,60000.0,551.0,585.0,60000.0,108.89292,28.125,31.25,-0.018010823,1e-04,,0.01,2.8733175,
