epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,160.0,95.0,10000.0,62.5,25.0,25.0,-0.024076935,1e-04,,0.01,2.8864968,
0.0,20000.0,236.0,195.0,20000.0,84.745766,18.75,21.875,-0.021185623,1e-04,,0.01,2.8863347,
0.0,30000.0,305.0,290.0,30000.0,98.36066,28.125,23.958334,-0.020519901,1e-04,,0.01,2.8847578,
0.0,40000.0,376.0,390.0,40000.0,106.38298,46.875,29.6875,-0.015589483,1e-04,,0.01,2.8807368,
0.0,50000.0,450.0,485.0,50000.0,111.111115,46.875,33.125,-0.02346114,1e-04,,0.01,2.8876452,
0.0,60000.0,523.0,585.0,60000.0,114.722755,40.625,34.375,-0.015653625,1e-04,,0.01,2.884802,
