epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,169.0,95.0,10000.0,59.171597,28.125,28.125,-0.022309318,1e-04,,0.01,2.883563,
0.0,20000.0,243.0,195.0,20000.0,82.30453,37.5,32.8125,-0.027626734,1e-04,,0.01,2.884996,
0.0,30000.0,317.0,290.0,30000.0,94.63722,71.875,45.833332,-0.030128416,1e-04,,0.01,2.8774693,
0.0,40000.0,389.0,390.0,40000.0,102.82777,59.375,49.21875,-0.022565817,1e-04,,0.01,2.8875828,
0.0,50000.0,460.0,485.0,50000.0,108.695656,46.875,48.75,-0.02567638,1e-04,,0.01,2.885315,
0.0,60000.0,533.0,585.0,60000.0,112.57036,87.5,55.208332,-0.013346153,1e-04,,0.01,2.882387,
